Day, Check, Number, Type
1, 1, 93, Zoom
1, 2, 99, Zoom
1, 3, 75, Zoom
1, 4, 66, Zoom
1, 5, 60, Zoom
1, 6, 65, Zoom
1, 7, 68, Zoom
1, 8, 51, Zoom
1, 9, 25, Zoom
1, 10, 31, Zoom
1, 11, 39, Zoom
1, 12, 46, Zoom
1, 13, 53, Zoom
1, 14, 50, Zoom
1, 15, 36, Zoom
2, 1, 24, Zoom
2, 2, 37, Zoom
2, 3, 42, Zoom
2, 4, 51, Zoom
2, 5, 41, Zoom
2, 6, 44, Zoom
2, 7, 37, Zoom
2, 8, 36, Zoom
2, 9, 31, Zoom
2, 10, 40, Zoom
2, 11, 45, Zoom
2, 12, 45, Zoom
2, 13, 50, Zoom
2, 14, 50, Zoom
2, 15, 49, Zoom
1, 1, 24, YouTube
1, 2, 33, YouTube
1, 3, 25, YouTube
1, 4, 21, YouTube
1, 5, 16, YouTube
1, 6, 25, YouTube
1, 7, 21, YouTube
1, 8, 17, YouTube
1, 9, 8, YouTube
1, 10, 7, YouTube
1, 11, 12, YouTube
1, 12, 12, YouTube
1, 13, 10, YouTube
1, 14, 11, YouTube
1, 15, 10, YouTube
2, 1, 6, YouTube
2, 2, 7, YouTube
2, 3, 16, YouTube
2, 4, 15, YouTube
2, 5, 15, YouTube
2, 6, 18, YouTube
2, 7, 13, YouTube
2, 8, 16, YouTube
2, 9, 8, YouTube
2, 10, 14, YouTube
2, 11, 19, YouTube
2, 12, 13, YouTube
2, 13, 13, YouTube
2, 14, 9, YouTube
2, 15, 12, YouTube